"phase2a1_record_id","query_id","search_date","search_source","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_depth","full_text_access_status","evidence_location","proposed_corpus_record","raw_snapshot","notes"
"A1AC-0011","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","High-dimensional change-point detection under sparse alternatives","Farida Enikeeva; Zaïd Harchaoui","2019","10.1214/18-aos1740","https://openalex.org/W2963416868","A1AC-DUP-0011","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0012","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Hypothesis testing with e-values","Aaditya Ramdas; Ruodu Wang","2024","10.48550/arxiv.2410.23614","https://openalex.org/W4404346919","A1AC-DUP-0012","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0013","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","The landscape of empirical risk for nonconvex losses","Song Mei; Yu Bai; Andrea Montanari","2018","10.1214/17-aos1637","https://openalex.org/W2963122491","A1AC-DUP-0013","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0014","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Peeking with PEAK: Sequential, Nonparametric Composite Hypothesis Tests for Means of Multiple Data Streams","Brian Cho; Kyra Gan; Nathan Kallus","2024","10.48550/arxiv.2402.06122","https://openalex.org/W4391766500","A1AC-DUP-0014","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0015","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Generic E-variables for exact sequential <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si736.svg"" display=""inline"" id=""d1e327""><mml:mi>k</mml:mi></mml:math>-sample tests that allow for optional stopping","Rosanne Turner; Alexander Ly; Peter Grünwald","2023","10.1016/j.jspi.2023.106116","https://openalex.org/W4388195981","A1AC-DUP-0015","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0016","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Graphing Sample Distributions for Hypothesis Testing","","2021","10.4135/9781529630213.n2","10.4135/9781529630213.n2","A1AC-DUP-0016","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0017","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Active Fixed-Sample-Size Hypothesis Testing via POMDP Value Function Lipschitz Bounds","Timothy L. Molloy; Girish N. Nair","2024","10.23919/acc60939.2024.10644574","10.23919/acc60939.2024.10644574","A1AC-DUP-0017","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0018","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Sample Size Determination for Bayesian Informative Hypothesis Testing","; Qianrao Fu","","10.33540/1221","10.33540/1221","A1AC-DUP-0018","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0019","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Hypothesis Testing with One Sample","","2014","10.4324/9781315797564-13","10.4324/9781315797564-13","A1AC-DUP-0019","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0020","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Hypothesis Testing and One-Sample t Tests","","2012","10.4135/9781071878989.n12","10.4135/9781071878989.n12","A1AC-DUP-0020","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0021","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Hypothesis Testing","","2009","10.1017/cbo9780511806957.004","10.1017/cbo9780511806957.004","A1AC-DUP-0021","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0022","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Sample Size and Hypothesis Testing","","2023","10.1002/9781119800002.ch14","10.1002/9781119800002.ch14","A1AC-DUP-0022","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0023","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Large Sample Hypothesis Testing","Anthony Almudevar","2021","10.1201/9781003049340-14","10.1201/9781003049340-14","A1AC-DUP-0023","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0024","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","On a two-sample procedure for testing Student's hypothesis using mean range","Josef Machek","1959","10.21136/am.1959.102662","10.21136/am.1959.102662","A1AC-DUP-0024","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0025","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Hypothesis Testing: Two‐Sample Case","","2007","10.1002/9780470388303.ch9","10.1002/9780470388303.ch9","A1AC-DUP-0025","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0026","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Hypothesis Testing: One‐Sample Case","","2007","10.1002/9780470388303.ch8","10.1002/9780470388303.ch8","A1AC-DUP-0026","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0027","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Corrigendum: Small Sample Methods for Cluster-Robust Variance Estimation and Hypothesis Testing in Fixed Effects Models","","2023","10.1080/07350015.2023.2174123","10.1080/07350015.2023.2174123","A1AC-DUP-0027","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0028","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Testing a Sample Hypothesis","Luiz Moutinho","2011","10.4135/9781446251119.n98","10.4135/9781446251119.n98","A1AC-DUP-0028","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0029","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","One-Sample Hypothesis Testing Including Power and Sample Size","Melody S. Goodman","2025","10.4324/9781003401612-13","10.4324/9781003401612-13","A1AC-DUP-0029","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0030","PHASE2A1-SEARCH-0002","2026-07-31","Crossref","Lab C: One-sample hypothesis testing, power, and sample size","Melody S. Goodman","2017","10.4324/9781315155661-11","10.4324/9781315155661-11","A1AC-DUP-0030","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0002_crossref.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0031","PHASE2A1-SEARCH-0003","2026-07-31","OpenAlex","Data-Driven Distributionally Robust Optimization Using the Wasserstein Metric: Performance Guarantees and Tractable Reformulations","Peyman Mohajerin Esfahani; Daniel Kühn","2017","10.1007/s10107-017-1172-1","https://openalex.org/W2963450292","A1AC-DUP-0031","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0003_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0032","PHASE2A1-SEARCH-0003","2026-07-31","OpenAlex","Noisy matrix decomposition via convex relaxation: Optimal rates in high dimensions","Alekh Agarwal; Sahand Negahban; Martin J. Wainwright","2012","10.1214/12-aos1000","https://openalex.org/W2154514661","A1AC-DUP-0005","DUPLICATE","DUPLICATE_OF_A1AC-0005","LEVEL_3_DISCOVERY_ONLY","NOT_APPLICABLE","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0003_openalex.json","Duplicate prospective occurrence; the first occurrence carries the evidence decision."
"A1AC-0033","PHASE2A1-SEARCH-0003","2026-07-31","OpenAlex","Guaranteed Matrix Completion via Non-Convex Factorization","Ruoyu Sun; Zhi‐Quan Luo","2016","10.1109/tit.2016.2598574","https://openalex.org/W2566608758","A1AC-DUP-0032","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0003_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0034","PHASE2A1-SEARCH-0003","2026-07-31","OpenAlex","Asymptotic minimax theorems for the sample distribution function","P. W. Millar","1979","10.1007/bf00537522","https://openalex.org/W2107782631","A1AC-DUP-0033","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0003_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0035","PHASE2A1-SEARCH-0003","2026-07-31","OpenAlex","Asymptotically exact nonparametric hypothesis testing in sup-norm and at a fixed point","Oleg Lepski; A. B. Tsybakov","2000","10.1007/s004400050265","https://openalex.org/W2058729597","A1AC-DUP-0034","FALSE_POSITIVE","ASYMPTOTIC_TESTING_RESULT_NOT_NONASYMPTOTIC_FIXED_SAMPLE","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0003_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0036","PHASE2A1-SEARCH-0003","2026-07-31","OpenAlex","Noise Enhanced Hypothesis-Testing in the Restricted Bayesian Framework","Suat Bayram; Sinan Gezici; H. Vincent Poor","2010","10.1109/tsp.2010.2048107","https://openalex.org/W2097117108","A1AC-DUP-0035","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0003_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0037","PHASE2A1-SEARCH-0003","2026-07-31","OpenAlex","Hypothesis testing by convex optimization","Alexander Goldenshluger; Anatoli Juditsky; Arkadi Nemirovski","2015","10.1214/15-ejs1054","https://openalex.org/W1742114735","A1AC-DUP-0036","FULL_TEXT_INCLUDED","","LEVEL_1_LOAD_BEARING","AUTHOR_MANUSCRIPT_FULL_TEXT_INSPECTED","arxiv_1311.6765_source/hypotheses-arxiv-short_corrected.tex:269-376 (§2.1 and Theorem the1), 606-727 (§2.3 and Proposition propnonstI), 995-999 (Proposition theverylatestopt), 2933-3055 (proof and converse lemmas)","NEW_CORPUS_CANDIDATE","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0003_openalex.json","Constructive fixed-sample uniform tests for convex compact composite families in good observation schemes; §2.3 covers independent heterogeneous products and gives a risk lower comparison."
"A1AC-0038","PHASE2A1-SEARCH-0003","2026-07-31","OpenAlex","Distributed testing and estimation under sparse high dimensional models","Heather Battey; Jianqing Fan; Han Liu; Junwei Lu; Ziwei Zhu","2018","10.1214/17-aos1587","https://openalex.org/W2801571965","A1AC-DUP-0037","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0003_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
