"phase3_id","title","year","doi","classification","search_families","query_ids","primary_observation","inferential_target","latent_flux_treatment","nonidentifiability_considered","several_mids_coupled","sampling_unit","biological_technical_hierarchy","finite_sample_guarantee","exact_source_location","phase3_components_covered","defining_components_absent","full_text_status","existing_record_id","raw_capture","screening_notes"
"P3-0011","X13CMS: global tracking of isotopic labels in untargeted metabolomics","2014","10.1021/ac403384n","APPLICATION WITHOUT THEORY","A;D","P3-A-OA-02;citation chaining from DIMet","LC-MS ion intensities grouped into relative isotopologue profiles","Detect enrichment and differential labeling by condition","Flux absent","No","Each isotopologue/group tested separately; no network joint model","Culture sample; example reports triplicate cultures","None","Welch tests and ad hoc group call; no coupled family-level calibration","Fig. 1; Experimental Section 'X13CMS Analysis', getIsoLabelReport and getIsoDiffReport; Tables 2–3","Raw-ion-to-relative-isotopologue processing and direct comparison","Class laws; shared nuisance; non-ID; hierarchy; finite-sample network guarantee","retrieved_full_text","NA","verification/P3-X13CMS-PMC3982964.xml","Triplicates are application facts, not general independence evidence"
"P3-0012","Bridging the gap between non-targeted stable isotope labeling and metabolic flux analysis","2016","10.1186/s40170-016-0150-z","APPLICATION WITHOUT THEORY","A;C;E","P3-A-OA-02;P3-CITE-10","Corrected metabolome-wide MIDs across conditions","Rank qualitative flux changes and contextualize unknown compounds","Flux inferred qualitatively, not a fitted nuisance model","Notes relative information and insensitive flux changes; no testability result","Pairwise MID-distance network only","Condition dataset; one follow-up reports n=3 extracts but not all MIDs","None","Empirical variation score/distance threshold; no error control","Methods 'Mass isotopomer abundance variation' and 'MID distance calculation'; Results 'Locating flux changes...' and Fig. 1; Discussion","Flux-free differential MID ranking and network visualization","Probabilistic class model; shared latent state; hierarchy; calibrated test","retrieved_full_text","NA","verification/P3-WEINDL-PMC4842284.xml","Network display is not network-constrained testing"
"P3-0013","Stable isotope resolved metabolomics classification of prostate cancer cells using hyperpolarized NMR data","2020","10.1016/j.jmr.2020.106750","APPLICATION WITHOUT THEORY","A","P3-SEARCH-0001;P3-WEB-15","Hyperpolarized 13C NMR isotope-resolved signal integrals","Multiclass cell-line and binary aggressive/indolent classification","Flux not recovered","No formal treatment; direct classification avoids flux estimation","Several isotope signals enter one classifier without a network law","32 reported samples, eight per cell type; independence lineage not established","None","Leave-one-out cross-validation and empirical accuracy only","Author manuscript pp. 2–3 Introduction/sample description; pp. 3–5 ANOVA, RF, SVM and LOOCV; Tables 1–2; pp. 5–6 Discussion","Direct isotope-resolved biological-class classification","MID law; shared flux; formal non-ID; hierarchy; prospective finite-sample error","retrieved_full_text","NA","verification/P3-FRAHM-author_manuscript.pdf","Raw isotope-resolved NMR features are within scope but are not conventional MS MIDs"
"P3-0014","Discrimination of metabolic flux profiles using a hybrid evolutionary algorithm","2007","10.1145/1276958.1277034","APPLICATION WITHOUT THEORY","A;B","P3-CITE-01","Concatenated GC-MS amino-acid isotope-profile/MID vectors","Optimize partitions into mutant groups with within-group similarity and between-group separation","Flux not estimated; synthetic flux ratios only validate results","States exact fluxes/ratios may not be recoverable; no non-ID test","Concatenated profiles, no declared shared-latent network law","Mutants are optimization points; 11 repetitions are algorithm seeds","None","No statistical class-error or sample-size guarantee","p.354 Abstract; §2.1 pp.355–356; §3 Eqs. 2–6 pp.356–357; §5.1 pp.357–358; §5.3/Fig. 3 p.358; §6 pp.359–360","Direct profile-space discrimination without flux recovery","Class hypotheses; sampling law; formal non-ID; hierarchy; calibrated testing","retrieved_full_text","NA","verification/P3-BLEULER-primary.pdf","Algorithm repetitions are not biological replicates"
"P3-0015","Conclusions via unique predictions obtained despite unidentifiability-new definitions and a general method","2012","10.1111/j.1742-4658.2012.08725.x","PARTIAL FORMULATION","B;E","P3-WEB-21;P3-B-OA2;P3-CITE-03","Generic noisy ODE time-course outputs and a cost/likelihood acceptance set","Model rejection or identification of a core prediction shared by acceptable parameters","Parameters may be nonuniquely identified and are profiled only in target-relevant directions","Central: target property may be identified while parameters are not","Generic multivariate ODE outputs, not MIDs","Not formalized as an experimental lineage","None","Set-logical equivalence relative to a selected cutoff; no calibrated finite-sample Type-I/II/sample size","Abstract; Introduction; 'Basic notations'; Definitions 1–8 and Lemmas 1–2; 'Modified optimization' Steps 1–3; non-equivalent approaches; Summary","Formal target-without-parameter-identification concept","Isotope family; metabolic classes; parallel MIDs; hierarchy; finite-sample risk","retrieved_full_text","NA","provider primary full HTML","Closest general systems-biology target/non-ID formulation"
"P3-0016","A global sensitivity test for evaluating statistical hypotheses with nonidentifiable models","2010","10.1111/j.1541-0420.2009.01290.x","GENERIC THEORY ONLY","B","P3-B-PB2;P3-B-EPMC2;P3-WEB-22","Independent copies from a prespecified missing-data/longitudinal model","Hypothesis about identifiable parameters uniformly over a nonidentified sensitivity parameter","Sensitivity parameter is nuisance and nonidentified","Central","No isotope MIDs/network","Independent subject-level sampling assumed by the generic model","No isotope experimental hierarchy","Asymptotic process/bootstrap validity and small-sample simulations; not exact finite-sample isotope control","Abstract; §§2.1–2.3, infimum statistic and simultaneous bands; §3; Table 1","Generic testing over nonidentified nuisance","Construction of isotope families; shared flux/MIDs; culture hierarchy; finite-sample sample requirement","retrieved_full_text","NA","verification/P3-TODEM-PMC3076640.xml","Generic probability family is already specified"
"P3-0017","Conditional inference with a functional nuisance parameter","2016","10.3982/ECTA12868","GENERIC THEORY ONLY","B","P3-B-OA2;P3-WEB-23;P3-WEB-31;P3-CITE-13","Empirical moment process in a prespecified econometric model","Test whether a parameter value is consistent without point/strong identification","Infinite-dimensional mean function is nuisance","Central","No","Depends on moment-process assumptions; no isotope unit","None","Uniformly correct asymptotic size; exact conditioning only in Gaussian limit experiment","Abstract p.1571; §1 pp.1571–1576; §2 Eqs. 1–2; §3 Eq. 5 and Lemma 1; §4.1 Theorem 1; §7","Generic proof that testing can survive non-identification","Experiment-induced law; metabolic classes; shared MIDs; hierarchy; finite-sample isotope guarantee","retrieved_full_text","NA","verification/P3-ANDREWS-MIKUSHEVA-accepted.pdf","Not exact prior art for isotope tracing"
"P3-0018","Hypothesis testing by convex optimization","2015","10.1214/15-EJS1054","GENERIC THEORY ONLY","B;C;E","PHASE2A1-REUSE","Observations from already represented good-observation-scheme probability families","Composite-versus-composite testing with uniform risk","Nuisance incorporated through convex compact parameter sets","Only through represented class sets; not isotope flux identification","Independent heterogeneous products supported; no pipeline construction","Declared independent observation/block in theorem","No biological/technical hierarchy construction","Uniform nonasymptotic two-error bounds and near-optimal comparison under stated assumptions","Primary locations already audited as P0053: Theorem 2.1 Eqs. 3–6; repeated/nonstationary observations and Proposition 3.2 Eqs. 24–25","Generic finite-sample composite testing and heterogeneous products","Actual nonlinear MID family representation; theorem applicability; experimental hierarchy; least-favourable computation","retrieved_full_text","P0053","phase2 raw primary source","Reused boundary only; generic review not repeated"
"P3-0019","Measurement error and resolution in quantitative stable isotope probing: implications for experimental design","2020","10.1128/mSystems.00151-20","ADJACENT BUT NONTRANSFERABLE","D","P3-WEB-12","Taxon-level isotope incorporation estimated from DNA density-fractionation gradients","Power, sensitivity/specificity and fraction-number design for qSIP","Metabolic flux not estimated","No","Density fractions/taxa, not metabolic-network MIDs","Replicated qSIP sample/gradient under paper's design","Measurement error and replication studied for qSIP, not the MID lineage","Power/simulation results specific to qSIP; not transferable finite-sample MID guarantee","Abstract; Methods Density shifts, Sensitivity analysis, Sensitivity to number of fractions, and Power analysis; Results Replication, statistical power, and detection thresholds for H2 18O qSIP; Discussion","Adjacent stable-isotope measurement-error and power precedent","Metabolite MIDs; atom-map coupling; flux nuisance; culture-to-ion hierarchy; direct class law","retrieved_full_text","NA","verification/P3-QSIP-PMC7566279.xml","Different primary measurement process makes transfer nonvalid"
"P3-0020","Metabolic isotopomer labeling systems: Part I: global dynamic behavior","2001","10.1016/S0025-5564(00)00059-6","PARTIAL FORMULATION","E","P3-SEARCH-0019;backward citation chaining","Deterministic isotopomer/cumomer network state","Existence, global dynamics and stability of isotope labeling state","Flux is fixed system input","Not an inferential target","Complete network state coupled through isotope dynamics","None","None","Deterministic global-stability result under stated conditions, not statistical error","§5 Eq. 12 and cascade; §7 cumomer transformation and feasibility/stability","Support/state prerequisites for a steady forward map","Probability laws; class testing; non-ID; hierarchy; finite-sample control","retrieved_full_text","NA","provider primary full text","Does not characterize induced law-family geometry"
"P3-0021","Metabolic flux elucidation for large-scale models using 13C labeled isotopes","2007","10.1016/j.ymben.2007.05.005","PARTIAL FORMULATION","C;E","citation chaining from EMU/identifiability","Multiple measured MDVs and extracellular rates","Flux point/range elucidation","Flux is target","Unresolved ranges reflect partial resolution, not class testing","Yes: one nonlinear isotope mapping jointly constrains measurements","Analytical injections reported; not biological sampling units","No random-effects hierarchy","Optimization/confidence-cutoff procedure, no direct class error","§2.2 large-scale isotopomer mapping; §2.5 FluxCalc and FluxRange","Explicit nonlinear joint constraint and unresolved flux ranges","Induced-law geometry; direct class target; hierarchy; finite-sample testing","retrieved_full_text","NA","verification/P3-SUTHERS-PMC2121621.html","Nonconvex optimization does not prove nonconvex statistical family"
"P3-0022","MIAMI—a tool for non-targeted detection of metabolic flux changes for mode of action identification","2020","10.1093/bioinformatics/btaa251","APPLICATION WITHOUT THEORY","A;C","P3-CITE-10;P3-WEB-43","Raw GC-MS features converted to MIDs for labeled and unlabeled extracts across conditions","Detect condition-dependent MID changes, display similarity/reference networks and propose metabolic targets","Flux changes are interpreted from user-thresholded MID changes; no latent flux model or flux estimate","No","Multiple MIDs form similarity and reference-pathway displays, not a joint law constrained by one latent flux state","A labeled and unlabeled extract set per condition is required; biological unit and independence are not formalized","Raw-data processing stages are described; biological/batch/preparation/injection variance levels are not modeled","A definable variability threshold drives calls; no calibrated class error or sample requirement","Abstract; §1 Introduction; §2 Features; §4 Conclusion","Direct raw-to-MID mechanism/target application; multivariate network contextualization","Experiment-induced class law; flux nuisance; non-ID testing; sampling hierarchy; finite-sample error","retrieved_full_text","NA","verification/P3-MIAMI-PMC7320603.xml","Closest direct mode-of-action application; thresholded interpretation is not statistical class testing"
"P3-0023","Integrative Metabolic-Flux Platform for Analysis, Contextualization, and Targeting (IMPACT): bridging untargeted and targeted flux analysis","2025","10.1093/bioinformatics/btaf591","APPLICATION WITHOUT THEORY","A;C;D","P3-CITE-09;P3-WEB-47;P3-WEB-48;P3-WEB-49","Raw LC-MS files or feature tables processed through isotope detection and MID calculation; external MID tables also accepted","Preprocess, calculate MIDs, annotate unknown metabolites and contextualize them in MID-similarity/reference-pathway networks","No flux vector is fitted or represented as nuisance","No","MIDs are linked by similarity/reference networks across experiments and conditions, not by a shared latent-network probability law","Uploaded sample-information/file rows; biological unit and independence are not formalized","Peak picking, retention-time alignment, feature grouping/filling, isotope detection and MID calculation are staged but variance components are not modeled","Software validation/use cases only; no class-test calibration or prospective sample requirement","Abstract; §1 Introduction; §2 Features and Figure 1; §3 Implementation; §4 Conclusion","Raw-LC-MS-to-MID pipeline and network contextualization","Direct metabolic-class test; flux nuisance; non-ID; biological/technical hierarchy; induced-family geometry; finite-sample risk","retrieved_full_text","NA","verification/P3-IMPACT-PMC12684724.xml","Contextualization is similarity/reference annotation, not inferential network coupling"
