"workstream_record_id","search_source","query_id","search_date","title","authors","year","doi_or_identifier","source_native_id","citation_anchor","duplicate_group","screening_state","exclusion_reason","evidence_level","final_corpus_id","raw_result_file","notes"
"DCL0011","Crossref","PHASE2-SEARCH-0104","2026-07-31","Machine Learning Guided Atom Mapping of Metabolic Reactions","","","10.1021/acs.jcim.8b00434.s003","10.1021/acs.jcim.8b00434.s003","","D-CLOSE-10.1021/acs.jcim.8b00434.s003","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0012","Crossref","PHASE2-SEARCH-0104","2026-07-31","Parallel labeling experiments validate Clostridium acetobutylicum metabolic network model for 13C metabolic flux analysis","Jennifer Au; Jungik Choi; Shawn W. Jones; Keerthi P. Venkataramanan; Maciek R. Antoniewicz","2014","10.1016/j.ymben.2014.08.002","10.1016/j.ymben.2014.08.002","","D-CLOSE-P0015","DUPLICATE","DUPLICATE_OF_CURATED_CORPUS_RECORD","LEVEL_3_DISCOVERY_ONLY","P0015","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","The DOI is already represented by the stated stable corpus ID."
"DCL0013","Crossref","PHASE2-SEARCH-0104","2026-07-31","Machine Learning Guided Atom Mapping of Metabolic Reactions","","","10.1021/acs.jcim.8b00434.s001","10.1021/acs.jcim.8b00434.s001","","D-CLOSE-10.1021/acs.jcim.8b00434.s001","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0014","Crossref","PHASE2-SEARCH-0104","2026-07-31","Identifying model error in metabolic flux analysis – a generalized least squares approach","Stanislav Sokolenko; Marco Quattrociocchi; Marc G. Aucoin","2016","10.1186/s12918-016-0335-7","10.1186/s12918-016-0335-7","","D-CLOSE-P0045","FULL_TEXT_INCLUDED","NA","LEVEL_1_LOAD_BEARING","P0045","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Complete primary full text inspected; exact evidence is recorded in the Workstream D handoff."
"DCL0015","Crossref","PHASE2-SEARCH-0104","2026-07-31","The effects of omitted variables and measurement error on cross-sectional network psychometric models","Teague R Henry","2024","10.31234/osf.io/cwr6t","10.31234/osf.io/cwr6t","","D-CLOSE-10.31234/osf.io/cwr6t","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0016","Crossref","PHASE2-SEARCH-0104","2026-07-31","Author response for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","Kaste, Joshua A.M.; Shachar-Hill, Yair","2023","10.1002/btpr.3413/v2/response1","10.1002/btpr.3413/v2/response1","","D-CLOSE-10.1002/btpr.3413/v2/response1","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0017","Crossref","PHASE2-SEARCH-0104","2026-07-31","Enhanced triacylglycerol production in chlorella vulgaris by flux balance analysis on metabolic network","Issalapap Kaothong","","10.58837/chula.the.2022.18","10.58837/chula.the.2022.18","","D-CLOSE-10.58837/chula.the.2022.18","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0018","Crossref","PHASE2-SEARCH-0104","2026-07-31","Bidirectional Graphormer for Reactivity Understanding: Neural Network Trained to Reaction Atom-to-Atom Mapping Task","Ramil Nugmanov; Natalia Dyubankova; Andrey Gedich; Joerg Kurt Wegner","2022","10.1021/acs.jcim.2c00344","10.1021/acs.jcim.2c00344","","D-CLOSE-10.1021/acs.jcim.2c00344","TITLE_ABSTRACT_EXCLUDED","ATOM_MAPPING_OR_CURATION_METHOD_WITHOUT_INFERENCE_OR_ROBUST_DESIGN_TREATMENT","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","The record may prevent mapping errors but does not, from the preserved metadata, model their effect on MFA decisions."
"DCL0019","Crossref","PHASE2-SEARCH-0104","2026-07-31","Flux-Related Metabolic Network Descriptions","","","10.1007/springerreference_168337","10.1007/springerreference_168337","","D-CLOSE-10.1007/springerreference_168337","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0020","Crossref","PHASE2-SEARCH-0104","2026-07-31","Improvements in metabolic flux analysis using carbon bond labeling experiments: bondomer balancing and Boolean function mapping","G Sriram","2004","10.1016/j.ymben.2004.02.003","10.1016/j.ymben.2004.02.003","","D-CLOSE-10.1016/j.ymben.2004.02.003","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0021","Crossref","PHASE2-SEARCH-0104","2026-07-31","Metabolic Flux Analysis of Escherichia coli Based on Kinetic Model and Genome-Scale Metabolic Network Model","Zhiren Gan; Jingyan Jiang; Mengxuan Zhou; Qihang Tao; Jinpeng Yang; Renquan Guo; Xueliang Li; Jian Ding; Zhenggang Xie","2026","10.3390/fermentation12030134","10.3390/fermentation12030134","","D-CLOSE-10.3390/fermentation12030134","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0022","Crossref","PHASE2-SEARCH-0104","2026-07-31","The Joint Effects of Measurement Error and Model Misspecification on Statistical Interactions","Aljoscha Rimpler; Henk Kiers; Don van Ravenzwaaij","2026","10.31234/osf.io/s47xz_v2","10.31234/osf.io/s47xz_v2","","D-CLOSE-10.31234/osf.io/s47xz_v2","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0023","Crossref","PHASE2-SEARCH-0104","2026-07-31","Applying Metabolic Flux Analysis to Hydrogen Fermentation Using Metabolic Network Constructed for Anaerobic Mixed Cultures","Hai-Hsuan Cheng; Liang-Ming Whang","2023","10.2139/ssrn.4438088","10.2139/ssrn.4438088","","D-CLOSE-10.2139/ssrn.4438088","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0024","Crossref","PHASE2-SEARCH-0104","2026-07-31","The Joint Effects of Measurement Error and Model Misspecification on Statistical Interactions","Aljoscha Rimpler; Henk Kiers; Don van Ravenzwaaij","2026","10.31234/osf.io/s47xz_v1","10.31234/osf.io/s47xz_v1","","D-CLOSE-10.31234/osf.io/s47xz_v2","DUPLICATE","DUPLICATE_OR_SUPERSEDED_BY_10.31234/osf.io/s47xz_v2","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Version relationship is explicit in the preserved identifiers/titles."
"DCL0025","Crossref","PHASE2-SEARCH-0104","2026-07-31","Assessing and Resolving Model Misspecifications in Metabolic Flux Analysis","Rudiyanto Gunawan; Sandro Hutter","2017","10.20944/preprints201703.0124.v1","10.20944/preprints201703.0124.v1","","D-CLOSE-P0035","DUPLICATE","SUPERSEDED_VERSION_OF_CURATED_CORPUS_RECORD","LEVEL_3_DISCOVERY_ONLY","P0035","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","The preserved result is a preprint/version of the curated final publication."
"DCL0026","Crossref","PHASE2-SEARCH-0104","2026-07-31","MetAMDB: Metabolic Atom Mapping Database","Collin Starke; Andre Wegner","2021","10.1101/2021.10.05.463172","10.1101/2021.10.05.463172","","D-CLOSE-P0034","DUPLICATE","SUPERSEDED_VERSION_OF_CURATED_CORPUS_RECORD","LEVEL_3_DISCOVERY_ONLY","P0034","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","The preserved result is a preprint/version of the curated final publication."
"DCL0027","Crossref","PHASE2-SEARCH-0104","2026-07-31","Transparent Peer Review for 'The effects of omitted variables and measurement error on cross-sectional network psychometric models'","","2024","10.56296/aip00011.pr","10.56296/aip00011.pr","","D-CLOSE-10.56296/aip00011.pr","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0028","Crossref","PHASE2-SEARCH-0104","2026-07-31","Factor Score Estimation Under Model Misspecification: Network Score Using Hybrid Centrality","Jinying Ouyang","2023","10.3102/ip.23.2012345","10.3102/ip.23.2012345","","D-CLOSE-10.3102/ip.23.2012345","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0029","Crossref","PHASE2-SEARCH-0104","2026-07-31","Simultaneous Topography and Reaction Flux Mapping at and around Electrocatalytic Nanoparticles","","","10.1021/acsnano.7b05435.s001","10.1021/acsnano.7b05435.s001","","D-CLOSE-10.1021/acsnano.7b05435.s001","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0030","Crossref","PHASE2-SEARCH-0104","2026-07-31","Neural Network Methods for Data Analysis and Statistical Error Reduction","Lionel Raff; Ranga Komanduri; Martin Hagan; Satish Bukkapatnam","2012","10.1093/oso/9780199765652.003.0013","10.1093/oso/9780199765652.003.0013","","D-CLOSE-10.1093/oso/9780199765652.003.0013","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0031","Crossref","PHASE2-SEARCH-0104","2026-07-31","Reaction lumping in metabolic networks for application with thermodynamic metabolic flux analysis","Lea Seep; Zahra Razaghi-Moghadam; Zoran Nikoloski","2021","10.1038/s41598-021-87643-8","10.1038/s41598-021-87643-8","","D-CLOSE-10.1038/s41598-021-87643-8","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0032","Crossref","PHASE2-SEARCH-0104","2026-07-31","Combining flux balance analysis and model checking for metabolic network validation and analysis","Roberto Pagliarini; Mara Sangiovanni; Adriano Peron; Diego di Bernardo","2014","10.1007/s11047-014-9419-8","10.1007/s11047-014-9419-8","","D-CLOSE-10.1007/s11047-014-9419-8","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0033","Crossref","PHASE2-SEARCH-0104","2026-07-31","Pan-cancer analysis of the metabolic reaction network","F. Gatto; J. Nielsen","2016","10.1101/050187","10.1101/050187","","D-CLOSE-10.1016/j.ymben.2019.09.006","DUPLICATE","DUPLICATE_OR_SUPERSEDED_BY_10.1016/j.ymben.2019.09.006","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Version relationship is explicit in the preserved identifiers/titles."
"DCL0034","Crossref","PHASE2-SEARCH-0104","2026-07-31","Differential Network Analysis Integrates Pathway Mapping to Characterize Dynamic Metabolic Changes in the Progression of Diabetic Complications","","","10.1021/acs.jproteome.5c00021.s001","10.1021/acs.jproteome.5c00021.s001","","D-CLOSE-10.1021/acs.jproteome.5c00021.s001","TITLE_ABSTRACT_EXCLUDED","PROCEDURAL_OR_SUPPLEMENTARY_RECORD_WITHOUT_STANDALONE_METHOD_EVIDENCE","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion."
"DCL0035","Crossref","PHASE2-SEARCH-0104","2026-07-31","Pan-cancer analysis of the metabolic reaction network","Francesco Gatto; Raphael Ferreira; Jens Nielsen","2020","10.1016/j.ymben.2019.09.006","10.1016/j.ymben.2019.09.006","","D-CLOSE-10.1016/j.ymben.2019.09.006","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0036","Crossref","PHASE2-SEARCH-0104","2026-07-31","Mapping photoautotrophic metabolism with isotopically nonstationary 13C flux analysis","Jamey D. Young; Avantika A. Shastri; Gregory Stephanopoulos; John A. Morgan","2011","10.1016/j.ymben.2011.08.002","10.1016/j.ymben.2011.08.002","","D-CLOSE-P0014","DUPLICATE","DUPLICATE_OF_CURATED_CORPUS_RECORD","LEVEL_3_DISCOVERY_ONLY","P0014","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","The DOI is already represented by the stated stable corpus ID."
"DCL0037","Crossref","PHASE2-SEARCH-0104","2026-07-31","Bias of the structural quasi-score estimator of a measurement error model under misspecification of the regressor distribution","Hans Schneeweiss; Chi-Lun Cheng","2006","10.1016/j.jmva.2005.03.010","10.1016/j.jmva.2005.03.010","","D-CLOSE-10.1016/j.jmva.2005.03.010","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0038","Crossref","PHASE2-SEARCH-0104","2026-07-31","Reverse engineering the cancer metabolic network using flux analysis to understand drivers of human disease","Mehmet G. Badur; Christian M. Metallo","2018","10.1016/j.ymben.2017.11.013","10.1016/j.ymben.2017.11.013","","D-CLOSE-10.1016/j.ymben.2017.11.013","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0039","Crossref","PHASE2-SEARCH-0104","2026-07-31","9. Calibrating misspecification fears with detection error probabilities","","2008","10.1515/9781400829385-011","10.1515/9781400829385-011","","D-CLOSE-10.1515/9781400829385-011","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0040","Crossref","PHASE2-SEARCH-0104","2026-07-31","Comparative Metabolic Network Flux Analysis to Identify Differences in Cellular Metabolism","Sarah McGarrity; Sigurður T. Karvelsson; Ólafur E. Sigurjónsson; Óttar Rolfsson","2020","10.1007/978-1-0716-0159-4_11","10.1007/978-1-0716-0159-4_11","","D-CLOSE-10.1007/978-1-0716-0159-4_11","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0041","Crossref","PHASE2-SEARCH-0104","2026-07-31","The Relationship Between Root Mean Square Error of Approximation and Model Misspecification in Confirmatory Factor Analysis Models","Victoria Savalei","2012","10.1177/0013164412452564","10.1177/0013164412452564","","D-CLOSE-10.1177/0013164412452564","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0042","Crossref","PHASE2-SEARCH-0104","2026-07-31","Model validation and selection in metabolic flux analysis and flux balance analysis","Joshua A. M. Kaste; Yair Shachar‐Hill","2023","10.1002/btpr.3413","10.1002/btpr.3413","","D-CLOSE-BTPR3413","DUPLICATE","DUPLICATE_OF_EARLIER_PHASE2_DISCOVERY","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","This article was prospectively discovered by earlier Phase 2 searches."
"DCL0043","Crossref","PHASE2-SEARCH-0104","2026-07-31","Measurement Error and Misspecification in Demand-Based Diversion Ratios","Patrick Sun","2023","10.2139/ssrn.4651330","10.2139/ssrn.4651330","","D-CLOSE-10.2139/ssrn.4651330","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0044","Crossref","PHASE2-SEARCH-0104","2026-07-31","Time Integrated Flux Analysis: Exploiting the Concentration Measurements Directly for Cost-Effective Metabolic Network Flux Analysis","Rui M. C. Portela; Anne Richelle; Patrick Dumas; Moritz von Stosch","2019","10.3390/microorganisms7120620","10.3390/microorganisms7120620","","D-CLOSE-10.3390/microorganisms7120620","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0045","Crossref","PHASE2-SEARCH-0104","2026-07-31","Normalizing Risk Measures in Risk-Based Portfolios through Covariance Misspecification Error Analysis","Enrico Sergi; Claudio Conversano","2024","10.2139/ssrn.4758251","10.2139/ssrn.4758251","","D-CLOSE-10.2139/ssrn.4758251","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0046","Crossref","PHASE2-SEARCH-0104","2026-07-31","Metabolic network reconstruction, growth characterization and 13C-metabolic flux analysis of the extremophile Thermus thermophilus HB8","Aditi Swarup; Jing Lu; Kathleen C. DeWoody; Maciek R. Antoniewicz","2014","10.1016/j.ymben.2014.05.013","10.1016/j.ymben.2014.05.013","","D-CLOSE-10.1016/j.ymben.2014.05.013","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
