search_source,historical_discovery_provenance_state,historical_query_ids,repair_retrieval_provenance_state,repair_query_ids,repair_rerun_date,provenance_notes,date,title,authors,year,doi_or_identifier,duplicate_group,screening_state,original_eligibility_disposition,exclusion_reason,final_paper_id
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Large-scale 13C-flux analysis reveals mechanistic principles of metabolic network robustness to null mutations in yeast.","Blank LM; Kuepfer L; Sauer U","2005","10.1186/gb-2005-6-6-r49","D-15960801","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0002","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Experimental design principles for isotopically instationary 13C labeling experiments.","Nöh K; Wiechert W","2006","10.1002/bit.20803","D-16598793","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0002","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Determination of confidence intervals of metabolic fluxes estimated from stable isotope measurements.","Antoniewicz MR; Kelleher JK; Stephanopoulos G","2006","10.1016/j.ymben.2006.01.004","D-16631402","RETAINED","retained","NA","P0003"
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0002","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","13C-labeled gluconate tracing as a direct and accurate method for determining the pentose phosphate pathway split ratio in Penicillium chrysogenum.","Kleijn RJ; van Winden WA; Ras C; van Gulik WM; Schipper D; Heijnen JJ","2006","10.1128/aem.02955-05","D-16820467","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0002","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Computational tools for isotopically instationary 13C labeling experiments under metabolic steady state conditions.","Nöh K; Wahl A; Wiechert W","2006","10.1016/j.ymben.2006.05.006","D-16890470","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Shewanella oneidensis MR-1 fluxome under various oxygen conditions.","Tang YJ; Hwang JS; Wemmer DE; Keasling JD","2007","10.1128/aem.01532-06","D-17098921","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0002;REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Metabolic flux analysis at ultra short time scale: isotopically non-stationary 13C labeling experiments.","Nöh K; Grönke K; Luo B; Takors R; Oldiges M; Wiechert W","2007","10.1016/j.jbiotec.2006.11.015","D-17207877","RETAINED","retained","NA","P0012"
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Metabolic flux analysis in a nonstationary system: fed-batch fermentation of a high yielding strain of E. coli producing 1,3-propanediol.","Antoniewicz MR; Kraynie DF; Laffend LA; González-Lergier J; Kelleher JK; Stephanopoulos G","2007","10.1016/j.ymben.2007.01.003","D-17400499","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","An elementary metabolite unit (EMU) based method of isotopically nonstationary flux analysis.","Young JD; Walther JL; Antoniewicz MR; Yoo H; Stephanopoulos G","2008","10.1002/bit.21632","D-17787013","RETAINED","retained","NA","P0013"
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Combining metabolic flux analysis tools and 13C NMR to estimate intracellular fluxes of cultured astrocytes.","Teixeira AP; Santos SS; Carinhas N; Oliveira R; Alves PM","2008","10.1016/j.neuint.2007.08.007","D-17904693","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Hyperpolarized 13C allows a direct measure of flux through a single enzyme-catalyzed step by NMR.","Merritt ME; Harrison C; Storey C; Jeffrey FM; Sherry AD; Malloy CR","2007","10.1073/pnas.0706235104","D-18056642","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","13C labeling experiments at metabolic nonstationary conditions: an exploratory study.","Wahl SA; Nöh K; Wiechert W","2008","10.1186/1471-2105-9-152","D-18366666","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Hybrid optimization for 13C metabolic flux analysis using systems parametrized by compactification.","Yang TH; Frick O; Heinzle E","2008","10.1186/1752-0509-2-29","D-18366780","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Isotopic non-stationary 13C gluconate tracer method for accurate determination of the pentose phosphate pathway split-ratio in Penicillium chrysogenum.","Zhao Z; Kuijvenhoven K; Ras C; van Gulik WM; Heijnen JJ; Verheijen PJ; van Winden WA","2008","10.1016/j.ymben.2008.04.003","D-18555197","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Metabolic flux analysis of Shewanella spp. reveals evolutionary robustness in central carbon metabolism.","Tang YJ; Martin HG; Dehal PS; Deutschbauer A; Llora X; Meadows A; Arkin A; Keasling JD","2009","10.1002/bit.22129","D-19031428","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0002","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Evaluation of 13C isotopic tracers for metabolic flux analysis in mammalian cells.","Metallo CM; Walther JL; Stephanopoulos G","2009","10.1016/j.jbiotec.2009.07.010","D-19622376","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Stationary versus non-stationary (13)C-MFA: a comparison using a consistent dataset.","Noack S; Nöh K; Moch M; Oldiges M; Wiechert W","2011","10.1016/j.jbiotec.2010.07.008","D-20638432","RETAINED","retained","NA","P0017"
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","13C-metabolic flux analysis for batch culture of Escherichia coli and its Pyk and Pgi gene knockout mutants based on mass isotopomer distribution of intracellular metabolites.","Toya Y; Ishii N; Nakahigashi K; Hirasawa T; Soga T; Tomita M; Shimizu K","2010","10.1002/btpr.420","D-20730757","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Bridging the gap between fluxomics and industrial biotechnology.","Feng X; Page L; Rubens J; Chircus L; Colletti P; Pakrasi HB; Tang YJ","2010","10.1155/2010/460717","D-21274256","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Computational analysis of storage synthesis in developing Brassica napus L. (oilseed rape) embryos: flux variability analysis in relation to ¹³C metabolic flux analysis.","Hay J; Schwender J","2011","10.1111/j.1365-313x.2011.04611.x","D-21501261","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0003;REPAIR-SEARCH-0004;REPAIR-SEARCH-0005","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","A novel deconvolution method for modeling UDP-N-acetyl-D-glucosamine biosynthetic pathways based on (13)C mass isotopologue profiles under non-steady-state conditions.","Moseley HN; Lane AN; Belshoff AC; Higashi RM; Fan TW","2011","10.1186/1741-7007-9-37","D-21627825","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","The benefits of being transient: isotope-based metabolic flux analysis at the short time scale.","Nöh K; Wiechert W","2011","10.1007/s00253-011-3390-4","D-21732247","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0005","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","¹³C metabolic flux analysis identifies an unusual route for pyruvate dissimilation in mycobacteria which requires isocitrate lyase and carbon dioxide fixation.","Beste DJ; Bonde B; Hawkins N; Ward JL; Beale MH; Noack S; Nöh K; Kruger NJ; Ratcliffe RG; McFadden J","2011","10.1371/journal.ppat.1002091","D-21814509","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Metabolic flux analysis of CHO cells at growth and non-growth phases using isotopic tracers and mass spectrometry.","Ahn WS; Antoniewicz MR","2011","10.1016/j.ymben.2011.07.002","D-21821143","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Rearrangement of energetic and substrate utilization networks compensate for chronic myocardial creatine kinase deficiency.","Dzeja PP; Hoyer K; Tian R; Zhang S; Nemutlu E; Spindler M; Ingwall JS","2011","10.1113/jphysiol.2011.212829","D-21878522","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Mapping photoautotrophic metabolism with isotopically nonstationary (13)C flux analysis.","Young JD; Shastri AA; Stephanopoulos G; Morgan JA","2011","10.1016/j.ymben.2011.08.002","D-21907300","RETAINED","retained","NA","P0014"
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Integration of in vivo and in silico metabolic fluxes for improvement of recombinant protein production.","Driouch H; Melzer G; Wittmann C","2012","10.1016/j.ymben.2011.11.002","D-22115737","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Strategies for investigating the plant metabolic network with steady-state metabolic flux analysis: lessons from an Arabidopsis cell culture and other systems.","Kruger NJ; Masakapalli SK; Ratcliffe RG","2012","10.1093/jxb/err382","D-22140245","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Characterization of central carbon metabolism of Streptococcus pneumoniae by isotopologue profiling.","Härtel T; Eylert E; Schulz C; Petruschka L; Gierok P; Grubmüller S; Lalk M; Eisenreich W; Hammerschmidt S","2012","10.1074/jbc.m111.304311","D-22167202","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0002;REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Optimization of 13C isotopic tracers for metabolic flux analysis in mammalian cells.","Walther JL; Metallo CM; Zhang J; Stephanopoulos G","2012","10.1016/j.ymben.2011.12.004","D-22198197","RETAINED","retained","NA","P0007"
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0001;REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Selection of tracers for 13C-metabolic flux analysis using elementary metabolite units (EMU) basis vector methodology.","Crown SB; Antoniewicz MR","2012","10.1016/j.ymben.2011.12.005","D-22209989","RETAINED","retained","NA","P0005"
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Metabolic cartography: experimental quantification of metabolic fluxes from isotopic labelling studies.","O'Grady J; Schwender J; Shachar-Hill Y; Morgan JA","2012","10.1093/jxb/ers032","D-22371075","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0001;REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Rational design of ¹³C-labeling experiments for metabolic flux analysis in mammalian cells.","Crown SB; Ahn WS; Antoniewicz MR","2012","10.1186/1752-0509-6-43","D-22591686","RETAINED","retained","NA","P0006"
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Photobioreactor design for isotopic non-stationary 13C-metabolic flux analysis (INST 13C-MFA) under photoautotrophic conditions.","Martzolff A; Cahoreau E; Cogne G; Peyriga L; Portais JC; Dechandol E; Le Grand F; Massou S; Gonçalves O; Pruvost J; Legrand J","2012","10.1002/bit.24575","D-22688667","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Parallel labeling experiments with [U-13C]glucose validate E. coli metabolic network model for 13C metabolic flux analysis.","Leighty RW; Antoniewicz MR","2012","10.1016/j.ymben.2012.06.003","D-22771935","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Central energy metabolism remains robust in acute steatotic hepatocytes challenged by a high free fatty acid load.","Niklas J; Bonin A; Mangin S; Bucher J; Kopacz S; Matz-Soja M; Thiel C; Gebhardt R; Hofmann U; Mauch K","2012","10.5483/bmbrep.2012.45.7.070","D-22831974","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0004","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Which prior knowledge? Quantification of in vivo brain 13C MR spectra following 13C glucose infusion using AMARES.","Lanz B; Duarte JM; Kunz N; Mlynárik V; Gruetter R; Cudalbu C","2013","10.1002/mrm.24406","D-22886985","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Isotopically nonstationary 13C flux analysis of Myc-induced metabolic reprogramming in B-cells.","Murphy TA; Dang CV; Young JD","2013","10.1016/j.ymben.2012.07.008","D-22898717","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Substrate cycles in Penicillium chrysogenum quantified by isotopic non-stationary flux analysis.","Zhao Z; Ten Pierick A; de Jonge L; Heijnen JJ; Wahl SA","2012","10.1186/1475-2859-11-140","D-23098235","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Fumaric acid production in Saccharomyces cerevisiae by in silico aided metabolic engineering.","Xu G; Zou W; Chen X; Xu N; Liu L; Chen J","2012","10.1371/journal.pone.0052086","D-23300594","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0005","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Loss of RBF1 changes glutamine catabolism.","Nicolay BN; Gameiro PA; Tschöp K; Korenjak M; Heilmann AM; Asara JM; Stephanopoulos G; Iliopoulos O; Dyson NJ","2013","10.1101/gad.206227.112","D-23322302","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0001;REPAIR-SEARCH-0002;REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Using multiple tracers for 13C metabolic flux analysis.","Antoniewicz MR","2013","10.1007/978-1-62703-299-5_17","D-23417812","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0006","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Isotopically nonstationary 13C metabolic flux analysis.","Jazmin LJ; Young JD","2013","10.1007/978-1-62703-299-5_18","D-23417813","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0001;REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","13C metabolic flux analysis: optimal design of isotopic labeling experiments.","Antoniewicz MR","2013","10.1016/j.copbio.2013.02.003","D-23453397","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
"PubMed","HISTORICAL_PROVENANCE_UNRECOVERABLE","","EXACT_REPAIR_RERUN_MATCH","REPAIR-SEARCH-0003","2026-07-30","Matched by a 2026-07-30 repair rerun; original record-level discovery query was not preserved.","2026-07-30","Measurement uncertainty of isotopologue fractions in fluxomics determined via mass spectrometry.","Guerrasio R; Haberhauer-Troyer C; Steiger M; Sauer M; Mattanovich D; Koellensperger G; Hann S","2013","10.1007/s00216-013-6910-5","D-23559335","SCREENED_DECISION_UNRECOVERABLE","unrecoverable","NA",""
