"discovery_id","search_id","source","search_date","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_level","final_corpus_id","notes"
"ROOT-D0011","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Genome-Scale Metabolic Modeling Enables In-Depth Understanding of Big Data","Anurag Passi; Juan D. Tibocha‐Bonilla; Manish Kumar; Diego Tec-Campos; Karsten Zengler; Cristal Zúñiga","2021","10.3390/metabo12010014","https://openalex.org/W4200380646","ROOT-10.3390/metabo12010014","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0012","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Comprehensive assessment of measurement uncertainty in 13C-based metabolic flux experiments","Teresa Mairinger; Wolfhard Wegscheider; David A. Peña; Matthias G. Steiger; Gunda Koellensperger; Jürgen Zanghellini; Stephan Hann","2018","10.1007/s00216-018-1017-7","https://openalex.org/W2797301123","ROOT-10.1007/s00216-018-1017-7","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0013","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","OpenFLUX2: 13C-MFA modeling software package adjusted for the comprehensive analysis of single and parallel labeling experiments","М.С. Шуплецов; L. I. Golubeva; Svetlana S Rubina; Dmitry A Podvyaznikov; Shintaro Iwatani; Sergey V. Mashko","2014","10.1186/s12934-014-0152-x","https://openalex.org/W2127636197","ROOT-10.1186/s12934-014-0152-x","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0014","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Systematic Construction of Kinetic Models from Genome-Scale Metabolic Networks","Natalie Stanford; Timo Lubitz; Kieran Smallbone; Edda Klipp; Pedro Mendes; Wolfram Liebermeister","2013","10.1371/journal.pone.0079195","https://openalex.org/W2000150815","ROOT-10.1371/journal.pone.0079195","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0015","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","One‐shot 13C15N‐metabolic flux analysis for simultaneous quantification of carbon and nitrogen flux","Khushboo Borah; Martin Beyß; Ye Xu; Jim Barber; Catia Costa; Jane Newcombe; Axel Theorell; Melanie J. Bailey; Dany J. V. Beste; Johnjoe McFadden; Katharina Nöh","2023","10.15252/msb.202211099","https://openalex.org/W4318219817","ROOT-10.15252/msb.202211099","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0016","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","The return of metabolism: biochemistry and physiology of the pentose phosphate pathway","Anna Stincone; Alessandro Prigione; Thorsten Cramer; Mirjam M. C. Wamelink; Kate Campbell; Eric C. Cheung; Viridiana Olín‐Sandoval; Nana‐Maria Grüning; Antje Krüger; Mohammad Tauqeer Alam; Markus A. Keller; Michael Breitenbach; Kevin M. Brindle; Joshua D. Rabinowitz; Markus Ralser","2014","10.1111/brv.12140","https://openalex.org/W1673751863","ROOT-10.1111/brv.12140","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0017","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Visual workflows for 13 C-metabolic flux analysis","Katharina Nöh; Peter Droste; Wolfgang Wiechert","2014","10.1093/bioinformatics/btu585","https://openalex.org/W2150071383","ROOT-10.1093/bioinformatics/btu585","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0018","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","A genome-scale metabolic flux model of Escherichia coli K–12 derived from the EcoCyc database","Daniel Weaver; Ingrid M. Keseler; Amanda Mackie; Ian T. Paulsen; Peter D. Karp","2014","10.1186/1752-0509-8-79","https://openalex.org/W2162115836","ROOT-10.1186/1752-0509-8-79","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0019","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Yeast metabolic innovations emerged via expanded metabolic network and gene positive selection","Hongzhong Lu; Feiran Li; Le Yuan; Iván Domenzain; Rosemary Yu; Hao Wang; Gang Li; Yu Chen; Boyang Ji; Eduard J. Kerkhoven; Jens Nielsen","2021","10.15252/msb.202110427","https://openalex.org/W3206238391","ROOT-10.15252/msb.202110427","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0020","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","From correlation to causation: analysis of metabolomics data using systems biology approaches","Antonio Rosato; Leonardo Tenori; Marta Cascante; Pedro de Atauri; Vítor A. P. Martins dos Santos; Edoardo Saccenti","2018","10.1007/s11306-018-1335-y","https://openalex.org/W2794105678","ROOT-10.1007/s11306-018-1335-y","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0021","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Ecosystem fluxes during drought and recovery in an experimental forest","Christiane Werner; Laura Meredith; S. Nemiah Ladd; Johannes Ingrisch; Angelika Kübert; Joost van Haren; Michael Bahn; Kinzie Bailey; Ines Bamberger; Matthias Beyer; Daniel Blomdahl; Joseph Byron; L. Erik Daber; Jason Deleeuw; Michaela A. Dippold; Jane Fudyma; Juliana Gil-Loaiza; Linnea K. Honeker; Jia Hu; Jianbei Huang; T. Klüpfel; Jordan Krechmer; Jürgen Kreuzwieser; Kathrin Kühnhammer; Marco M. Lehmann; Kathiravan Meeran; Pawel K. Misztal; Wei-Ren Ng; Eva Y. Pfannerstill; Giovanni Pugliese; Gemma Purser; Joseph Roscioli; Lingling Shi; Malak Tfaily; Jonathan Williams","2021","10.1126/science.abj6789","https://openalex.org/W4200211463","ROOT-10.1126/science.abj6789","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0022","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Life and death in the soil microbiome: how ecological processes influence biogeochemistry","Noah W. Sokol; Eric Slessarev; Gianna L. Marschmann; Alexa M. Nicolas; Steven J. Blazewicz; Eoin Brodie; Mary K. Firestone; Megan Foley; Rachel Hestrin; Bruce A. Hungate; Benjamin J. Koch; Bram WG Stone; Matthew B. Sullivan; Olivier Zablocki; Gareth Trubl; Karis J. McFarlane; Rhona Stuart; Erin Nuccio; Peter Weber; Yongqin Jiao; Mavrik Zavarin; Jeffrey A. Kimbrel; Keith D. Morrison; Dinesh Adhikari; Amrita Bhattacharaya; Peter Nico; Jinyun Tang; Nicole DiDonato; Ljiljana Paša‐Tolić; Alex Greenlon; Ella T. Sieradzki; Paul Dijkstra; Egbert Schwartz; Rohan Sachdeva; Jillian F. Banfield; Jennifer Pett‐Ridge","2022","10.1038/s41579-022-00695-z","https://openalex.org/W4214637392","ROOT-10.1038/s41579-022-00695-z","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0023","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","A critical view of metabolic network adaptations","Balázs Papp; Bas Teusink; Richard A. Notebaart","2008","10.2976/1.3020599","https://openalex.org/W2112364806","ROOT-10.2976/1.3020599","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0024","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Metabolomics and modelling approaches for systems metabolic engineering","Jasmeet Kaur Khanijou; Hanna Kulyk; Cécilia Bergès; Leng Wei Khoo; Pnelope Ng; Hock Chuan Yeo; Mohamed Helmy; Floriant Bellvert; Wee Chew; Kumar Selvarajoo","2022","10.1016/j.mec.2022.e00209","https://openalex.org/W4306254899","ROOT-10.1016/j.mec.2022.e00209","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0025","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Estimating Relative Changes of Metabolic Fluxes","Lei Huang; Dong-Sung Kim; Xiaojing Liu; Christopher R. Myers; Jason W. Locasale","2014","10.1371/journal.pcbi.1003958","https://openalex.org/W1981505595","ROOT-10.1371/journal.pcbi.1003958","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0026","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Achieving Metabolic Flux Analysis for S. cerevisiae at a Genome-Scale: Challenges, Requirements, and Considerations","Saratram Gopalakrishnan; Costas D. Maranas","2015","10.3390/metabo5030521","https://openalex.org/W1959572216","ROOT-10.3390/metabo5030521","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0027","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","BayFlux: A Bayesian method to quantify metabolic Fluxes and their uncertainty at the genome scale","Tyler W. H. Backman; Christina Schenk; Tijana Radivojević; David Ando; Jahnavi Singh; Jeffrey J. Czajka; Zak Costello; Jay D. Keasling; Yinjie Tang; Elena Akhmatskaya; Héctor García Martín","2023","10.1371/journal.pcbi.1011111","https://openalex.org/W4388562984","ROOT-10.1371/journal.pcbi.1011111","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0028","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","From integrative structural biology to cell biology","Andrej Šali","2021","10.1016/j.jbc.2021.100743","https://openalex.org/W3157910233","ROOT-10.1016/j.jbc.2021.100743","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0029","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","The Jena Diversity-Dynamic Global Vegetation Model (JeDi-DGVM): a diverse approach to representing terrestrial biogeography and biogeochemistry based on plant functional trade-offs","Ryan Pavlick; D. Drewry; K. Bohn; B. Reu; Axel Kleidon","2013","10.5194/bg-10-4137-2013","https://openalex.org/W2105808960","ROOT-10.5194/bg-10-4137-2013","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0030","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Local flux coordination and global gene expression regulation in metabolic modeling","Gaoyang Li; Li Liu; Wei Du; Huansheng Cao","2023","10.1038/s41467-023-41392-6","https://openalex.org/W4386739120","ROOT-10.1038/s41467-023-41392-6","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0031","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Partitioning of ocean and land uptake of CO<sub>2</sub> as inferred by δ<sup>13</sup>C measurements from the NOAA Climate Monitoring and Diagnostics Laboratory Global Air Sampling Network","Philippe Ciais; Pieter P. Tans; James W. C. White; M. Trolier; R. J. Francey; Joe A. Berry; David R. Randall; P. J. Sellers; James G. Collatz; David Schimel","1995","10.1029/94jd02847","https://openalex.org/W2130023012","ROOT-10.1029/94jd02847","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0032","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Construction of feasible and accurate kinetic models of metabolism: A Bayesian approach","Pedro A. Saa; Lars K. Nielsen","2016","10.1038/srep29635","https://openalex.org/W2461742269","ROOT-10.1038/srep29635","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0033","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Nutritional Systems Biology Modeling: From Molecular Mechanisms to Physiology","Albert A. de Graaf; Andreas P. Freidig; Baukje de Roos; Neema Jamshidi; Matthias Heinemann; J.A.C. Rullmann; Kevin D. Hall; Martin Adiels; Ben van Ommen","2009","10.1371/journal.pcbi.1000554","https://openalex.org/W2107941528","ROOT-10.1371/journal.pcbi.1000554","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0034","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","A system of metrics for the assessment and improvement of aquatic ecosystem models","Matthew R. Hipsey; Gideon Gal; George B. Arhonditsis; Cayelan C. Carey; J. Alex Elliott; Marieke A. Frassl; Jan H. Janse; L. de Mora; Barbara Robson","2020","10.1016/j.envsoft.2020.104697","https://openalex.org/W3011281671","ROOT-10.1016/j.envsoft.2020.104697","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0035","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Murine Electrophysiological Models of Cardiac Arrhythmogenesis","Christopher Huang","2016","10.1152/physrev.00007.2016","https://openalex.org/W2565778938","ROOT-10.1152/physrev.00007.2016","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0036","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","A pathogen-specific isotope tracing approach reveals metabolic activities and fluxes of intracellular Salmonella","Karin Mitosch; Martin Beyß; Prasad Phapale; Bernhard Drotleff; Katharina Nöh; Theodore Alexandrov; Kiran Raosaheb Patil; Athanasios Typas","2023","10.1371/journal.pbio.3002198","https://openalex.org/W4385971524","ROOT-10.1371/journal.pbio.3002198","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0037","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Impact of Stoichiometry Representation on Simulation of Genotype-Phenotype Relationships in Metabolic Networks","Ana Rita Brochado; Sergej Andrejev; Costas D. Maranas; Kiran Raosaheb Patil","2012","10.1371/journal.pcbi.1002758","https://openalex.org/W2050073769","ROOT-10.1371/journal.pcbi.1002758","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0038","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","An objective function exploiting suboptimal solutions in metabolic networks","Edwin H. Wintermute; Tami D. Lieberman; Pamela A. Silver","2013","10.1186/1752-0509-7-98","https://openalex.org/W1964754685","ROOT-10.1186/1752-0509-7-98","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0039","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Real-time carbon allocation into biogenic volatile organic compounds (BVOCs) and respiratory carbon dioxide (CO2) traced by PTR-TOF-MS, 13CO2 laser spectroscopy and 13C-pyruvate labelling","Lukas Fasbender; Ana María Yáñez‐Serrano; Jürgen Kreuzwieser; David Dubbert; Christiane Werner","2018","10.1371/journal.pone.0204398","https://openalex.org/W2893045577","ROOT-10.1371/journal.pone.0204398","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0040","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Forest carbon allocation modelling under climate change","Katarína Merganičová; Ján Merganič; Aleksi Lehtonen; Giorgio Vacchiano; Maša Zorana Ostrogović Sever; Andrey Lessa Derci Augustynczik; Rüdiger Grote; Ina Kyselová; Annikki Mäkelä; Rasoul Yousefpour; Jan Krejza; Alessio Collalti; Christopher Reyer","2019","10.1093/treephys/tpz105","https://openalex.org/W2990434306","ROOT-10.1093/treephys/tpz105","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0041","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","HILIC-Enabled 13C Metabolomics Strategies: Comparing Quantitative Precision and Spectral Accuracy of QTOF High- and QQQ Low-Resolution Mass Spectrometry","André Feith; Attila Teleki; Michaela Graf; Lorenzo Favilli; Ralf Takors","2019","10.3390/metabo9040063","https://openalex.org/W2926544719","ROOT-10.3390/metabo9040063","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0042","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Recent advances in constraint and machine learning-based metabolic modeling by leveraging stoichiometric balances, thermodynamic feasibility and kinetic law formalisms","Patrick F. Suthers; Charles Foster; Debolina Sarkar; Lin Wang; Costas D. Maranas","2020","10.1016/j.ymben.2020.11.013","https://openalex.org/W3110784682","ROOT-10.1016/j.ymben.2020.11.013","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0043","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","How reliable are Chinese hamster ovary (CHO) cell genome‐scale metabolic models?","Benjamin Strain; James Morrissey; Athanasios Antonakoudis; Cleo Kontoravdi","2023","10.1002/bit.28366","https://openalex.org/W4323036391","ROOT-10.1002/bit.28366","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0044","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","CHOmpact: A reduced metabolic model of Chinese hamster ovary cells with enhanced interpretability","Ioscani Jiménez del Val; Sarantos Kyriakopoulos; Simone Albrecht; Henning Stöckmann; Pauline M. Rudd; Karen M. Polizzi; Cleo Kontoravdi","2023","10.1002/bit.28459","https://openalex.org/W4379377227","ROOT-10.1002/bit.28459","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0045","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Synthetic and systems biology for microbial production of commodity chemicals","Victor Chubukov; Aindrila Mukhopadhyay; Christopher J. Petzold; Jay D. Keasling; Héctor García Martín","2016","10.1038/npjsba.2016.9","https://openalex.org/W2328214874","ROOT-10.1038/npjsba.2016.9","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0046","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Metabolomics: A Global Biochemical Approach to the Study of Central Nervous System Diseases","Rima Kaddurah‐Daouk; Kousik Krishnan","2008","10.1038/npp.2008.174","https://openalex.org/W2163545549","ROOT-10.1038/npp.2008.174","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
"ROOT-D0047","PHASE2-SEARCH-0013","OpenAlex","2026-07-31","Priming mechanisms providing plants and microbes access to mineral-associated organic matter","Andrea Jilling; Marco Keiluweit; Jessica Gutknecht; A. Stuart Grandy","2021","10.1016/j.soilbio.2021.108265","https://openalex.org/W3154798818","ROOT-10.1016/j.soilbio.2021.108265","TITLE_ABSTRACT_EXCLUDED","OUTSIDE_METABOLIC_MODEL_DISCRIMINATION_SCOPE","LEVEL_3_DISCOVERY_ONLY","","Prospective root workstream screening; only the preserved result page was screened."
