"workstream_record_id","query_id","search_source","search_date","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_level","final_corpus_id","raw_result_file","notes"
"C0011","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Optimal Deployment of Attentional Gain during Fine Discriminations","Miranda Scolari; Anna Byers; John T. Serences","2012","10.1523/jneurosci.5558-11.2012","https://openalex.org/W2012572768","C-DUP-0011","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0012","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Robustness of asymmetry and coherence of quantum states","Marco Piani; Marco Cianciaruso; Thomas R. Bromley; Carmine Napoli; Nathaniel Johnston; Gerardo Adesso","2016","10.1103/physreva.93.042107","https://openalex.org/W2342127886","C-DUP-0012","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0013","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Simple allele-discriminating PCR for cost-effective and rapid genotyping and mapping","Minh Bui; Zhongchi Liu","2009","10.1186/1746-4811-5-1","https://openalex.org/W2110564679","C-DUP-0013","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0014","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Optimal crowdfunding design","Matthew Ellman; Sjaak Hurkens","2019","10.1016/j.jet.2019.104939","https://openalex.org/W3122438686","C-DUP-0014","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0015","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Robust Tactile Descriptors for Discriminating Objects From Textural Properties via Artificial Robotic Skin","Mohsen Kaboli; Gordon Cheng","2018","10.1109/tro.2018.2830364","https://openalex.org/W2812031262","C-DUP-0015","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0016","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Current challenges in monitoring, discrimination, and management of induced seismicity related to underground industrial activities: A European perspective","Francesco Grigoli; Simone Cesca; Enrico Priolo; Antonio Pio Rinaldi; John Clinton; Tony Alfredo Stabile; Bernard Dost; Mariano García‐Fernández; Stefan Wiemer; Torsten Dahm","2017","10.1002/2016rg000542","https://openalex.org/W2597160917","C-DUP-0016","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0017","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","The Sparseness of Mixed Selectivity Neurons Controls the Generalization–Discrimination Trade-Off","Omri Barak; Mattia Rigotti; Stefano Fusi","2013","10.1523/jneurosci.2753-12.2013","https://openalex.org/W2093356195","C-DUP-0017","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0018","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","System design of stochastic models using robustness of temporal properties","Ezio Bartocci; Luca Bortolussi; Laura Nenzi; Guido Sanguinetti","2015","10.1016/j.tcs.2015.02.046","https://openalex.org/W1972402079","C-DUP-0018","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0019","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Machine Learning Seismic Wave Discrimination: Application to Earthquake Early Warning","Zefeng Li; Men‐Andrin Meier; Egill Hauksson; Zhongwen Zhan; Jennifer Andrews","2018","10.1029/2018gl077870","https://openalex.org/W2799565130","C-DUP-0019","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0020","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Optimal marker gene selection for cell type discrimination in single cell analyses","Bianca Dumitrascu; Soledad Villar; Dustin G. Mixon; Barbara E. Engelhardt","2021","10.1038/s41467-021-21453-4","https://openalex.org/W3131383906","C-DUP-0020","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0021","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Models of incremental concept formation","John H. Gennari; Pat Langley; Doug Fisher","1989","10.1016/0004-3702(89)90046-5","https://openalex.org/W2050206309","C-DUP-0021","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0022","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Multidimensional Adaptive Testing with Optimal Design Criteria for Item Selection","Joris Mulder; Wim J. van der Linden","2008","10.1007/s11336-008-9097-5","https://openalex.org/W1991203624","C-DUP-0022","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0023","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","VBA: A Probabilistic Treatment of Nonlinear Models for Neurobiological and Behavioural Data","Jean Daunizeau; Vincent Adam; Lionel Rigoux","2014","10.1371/journal.pcbi.1003441","https://openalex.org/W2049657715","C-DUP-0023","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0024","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Use of the zero norm with linear models and kernel methods","Jason Weston; André Elisseeff; Bernhard Schölkopf; Mike Tipping","2003","https://openalex.org/W2124225314","https://openalex.org/W2124225314","C-DUP-0024","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0025","PHASE2-SEARCH-0021","OpenAlex","2026-07-31","Brain Mechanisms Supporting Discrimination of Sensory Features of Pain: A New Model","Yoshitetsu Oshiro; Alexandre Silva de Quevedo; John G. McHaffie; Robert Kraft; Robert C. Coghill","2009","10.1523/jneurosci.5538-08.2009","https://openalex.org/W2100951461","C-DUP-0025","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0021_openalex.json"
"C0026","PHASE2-SEARCH-0022","Crossref","2026-07-31","Optimal Experimental Design for Model Discrimination","Jay I. Myung; Mark A. Pitt","2008","10.1037/e527312012-124","10.1037/e527312012-124","C-DUP-0026","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0027","PHASE2-SEARCH-0022","Crossref","2026-07-31","Optimal Experimental Design, Model Discrimination","Brecht M. R. Donckels","2013","10.1007/978-1-4419-9863-7_1228","10.1007/978-1-4419-9863-7_1228","C-DUP-0027","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0028","PHASE2-SEARCH-0022","Crossref","2026-07-31","Adaptive optimal experimental design for model discrimination","Jay I. Myung; Daniel R. Cavagnaro; Mark A. Pitt","2010","10.1037/e520592012-108","10.1037/e520592012-108","C-DUP-0028","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0029","PHASE2-SEARCH-0022","Crossref","2026-07-31","An optimal experimental design approach to model discrimination in dynamic biochemical systems","Dominik Skanda; Dirk Lebiedz","2010","10.1093/bioinformatics/btq074","10.1093/bioinformatics/btq074","C-DUP-0029","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0030","PHASE2-SEARCH-0022","Crossref","2026-07-31","Entropy-Based Experimental Design for Optimal Model Discrimination in the Geosciences","Wolfgang Nowak; Anneli Guthke","2016","10.3390/e18110409","10.3390/e18110409","C-DUP-0030","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0031","PHASE2-SEARCH-0022","Crossref","2026-07-31","Optimal experimental design for model discrimination.","Jay I. Myung; Mark A. Pitt","2009","10.1037/a0016104","10.1037/a0016104","C-DUP-0031","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0032","PHASE2-SEARCH-0022","Crossref","2026-07-31","rodd: Optimal Discriminating Designs","Roman Guchenko","2014","10.32614/cran.package.rodd","10.32614/cran.package.rodd","C-DUP-0032","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0033","PHASE2-SEARCH-0022","Crossref","2026-07-31","Optimal Experiment Design for Practical Parameter Identifiability and Model Discrimination","Yue Liu; Philip K. Maini; Ruth E. Baker","2025","10.2139/ssrn.5377217","10.2139/ssrn.5377217","C-DUP-0033","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0034","PHASE2-SEARCH-0022","Crossref","2026-07-31","Optimal Experimental Design for Probabilistic Model Discrimination Using Polynomial Chaos","Stefan Streif; Felix Petzke; Ali Mesbah; Rolf Findeisen; Richard D. Braatz","2014","10.3182/20140824-6-za-1003.01562","10.3182/20140824-6-za-1003.01562","C-DUP-0034","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0035","PHASE2-SEARCH-0022","Crossref","2026-07-31","Development of a holistic Python package for optimal selection of experimental design criteria in kinetic model discrimination","Maerthe Theresa Tillmann; Federico Galvanin","2023","10.1016/b978-0-443-15274-0.50100-1","10.1016/b978-0-443-15274-0.50100-1","C-DUP-0035","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0036","PHASE2-SEARCH-0022","Crossref","2026-07-31","Finite Horizon Control Design for Optimal Model Discrimination","L. Blackmore; B. Williams","","10.1109/cdc.2005.1582753","10.1109/cdc.2005.1582753","C-DUP-0036","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0037","PHASE2-SEARCH-0022","Crossref","2026-07-31","Optimal Input Design for Autoregressive Model Discrimination with Constrained Output Variance","Katsuji Uosaki; Ippel Tanaka; Hiroshi Sugiyama","1983","10.23919/acc.1983.4788316","10.23919/acc.1983.4788316","C-DUP-0037","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0038","PHASE2-SEARCH-0022","Crossref","2026-07-31","Optimal Input Design for Autoregressive Model Discrimination Based on the Kullback-Leibler Discrimination Information","K. Uosaki; T. Hatanaka","1987","10.1016/s1474-6670(17)55529-9","10.1016/s1474-6670(17)55529-9","C-DUP-0038","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0039","PHASE2-SEARCH-0022","Crossref","2026-07-31","Optimal Input Design for Model Discrimination Based on the Kullback Discrimination Information: Frequency Domain Approach","K. Uosaki; T. Hatanaka","1990","10.1016/s1474-6670(17)52006-6","10.1016/s1474-6670(17)52006-6","C-DUP-0039","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0040","PHASE2-SEARCH-0022","Crossref","2026-07-31","Exact Optimal Designs and Sample Sizes in Model I of Regression Analysis","","2011","10.1201/b10934-15","10.1201/b10934-15","C-DUP-0040","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0041","PHASE2-SEARCH-0022","Crossref","2026-07-31","Optimal Design for Model Discrimination: Choosing the Best Spacing and Density of Design Points","W. G. Bardsley; E. M. Melikhova","1993","10.1007/978-1-4615-2962-0_72","10.1007/978-1-4615-2962-0_72","C-DUP-0041","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0042","PHASE2-SEARCH-0022","Crossref","2026-07-31","Optimal input design for model discrimination using Pontryagin’s maximum principle: Application to kinetic model structures","Karel J. Keesman; Eric Walter","2014","10.1016/j.automatica.2014.03.022","10.1016/j.automatica.2014.03.022","C-DUP-0042","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0043","PHASE2-SEARCH-0022","Crossref","2026-07-31","Optimal input design for model discrimination","Karel J. Keesman; Eric Walter","2012","10.3182/20120711-3-be-2027.00126","10.3182/20120711-3-be-2027.00126","C-DUP-0043","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0044","PHASE2-SEARCH-0022","Crossref","2026-07-31","The Monod Model","","","10.1007/0-387-31610-8_9","10.1007/0-387-31610-8_9","C-DUP-0044","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0045","PHASE2-SEARCH-0022","Crossref","2026-07-31","An anticipatory approach to optimal experimental design for model discrimination","Brecht M.R. Donckels; Dirk J.W. De Pauw; Bernard De Baets; Jo Maertens; Peter A. Vanrolleghem","2009","10.1016/j.chemolab.2008.08.002","10.1016/j.chemolab.2008.08.002","C-DUP-0045","TITLE_ABSTRACT_INCLUDED","","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
"C0046","PHASE2-SEARCH-0022","Crossref","2026-07-31","Model-Based Optimal Experimental Design for Complex Physical Systems","Youssef M. Marzouk; Chi Feng; Xun Huan","2015","10.21236/ada627240","10.21236/ada627240","C-DUP-0046","TITLE_ABSTRACT_EXCLUDED","Not directly relevant to adjacent model-discrimination or decision-theory transfer after title/metadata screening.","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json","Prospective Workstream C occurrence; raw snapshot: audit/phase2_raw_search_results/C/PHASE2-SEARCH-0022_crossref.json"
